framework_short_name,lot_number,salesforce_id,supplier_name
RM1043iv,1,001b000003g7zjwAAA,Verifi Solutions Ltd,
RM1043iv,2,001b000003g7zjwAAA,Verifi Solutions Ltd,
RM1043iv,1,001b000003g7zk4AAA,Deep Digital Limited
RM1043iv,2,001b000003g7zk4AAA,Deep Digital Limited
RM1043iv,2,001b000003g7zkCAAQ,TSAK Ltd,
RM1043iv,1,001b000003g7zrhAAA,IAsquare (Dialect Labs),
RM1043iv,2,001b000003g7zrhAAA,IAsquare (Dialect Labs),
RM1043iv,3,001b000003g7zrhAAA,IAsquare (Dialect Labs),
RM1043iv,2,001b000003g7zriAAA,Wundersphere Ltd,
RM1043iv,2,001b000003g7zrjAAA,Quantum IT Lab Ltd
RM1043iv,4,001b000003g7zrjAAA,Quantum IT Lab Ltd
RM1043iv,1,001b000003g7zrpAAA,Marmelo,
RM1043iv,2,001b000003g7zs8AAA,Bottlerocket ltd,
RM1043iv,2,001b000003g7zs9AAA,Expedite Concepts Limited,
RM1043iv,1,001b000003g7zsEAAQ,Orange Maple Ltd
RM1043iv,2,001b000003g7zsEAAQ,Orange Maple Ltd
RM1043iv,2,001b000003g7zsnAAA,EP90group Ltd
RM1043iv,2,001b000003g7zsSAAQ,True North,
RM1043iv,1,001b000003g7zsWAAQ,Soteria Business Services Ltd
RM1043iv,2,001b000003g7zsWAAQ,Soteria Business Services Ltd
RM1043iv,4,001b000003g7zsWAAQ,Soteria Business Services Ltd
RM1043iv,1,001b000003g7zt3AAA,Under Our Umbrella
RM1043iv,2,001b000003g7zt3AAA,Under Our Umbrella
RM1043iv,1,001b000003g7ztVAAQ,Malikshaw Limited
RM1043iv,2,001b000003g7ztVAAQ,Malikshaw Limited
RM1043iv,2,001b000003g7zu6AAA,Solutioneers Ltd trading as flowcore
RM1043iv,1,001b000003g7zudAAA,EngineerBetter,
RM1043iv,1,001b000003g7zvEAAQ,SRBS Incorporation Limited,
RM1043iv,2,001b000003g7zvEAAQ,SRBS Incorporation Limited,
RM1043iv,2,001b000003g7zvKAAQ,344 Cyber Ltd
RM1043iv,2,001b000003g7zvPAAQ,SOFTSTREAM SOLUTIONS LIMITED,
RM1043iv,2,001b000003g7zvUAAQ,M P HANSON LTD,
RM1043iv,1,001b000003g7zw6AAA,R U Digital LLP
RM1043iv,2,001b000003g7zw6AAA,R U Digital LLP
RM1043iv,1,001b000003g7zwiAAA,AdRoc Group
RM1043iv,2,001b000003g7zwiAAA,AdRoc Group
RM1043iv,1,001b000003g7zwLAAQ,Alesto Ltd
RM1043iv,2,001b000003g7zwLAAQ,Alesto Ltd
RM1043iv,1,001b000003g7zwmAAA,John White PM Ltd
RM1043iv,2,001b000003g7zwmAAA,John White PM Ltd
RM1043iv,1,001b000003g7zwyAAA,Graph Digital Ltd
RM1043iv,2,001b000003g7zwyAAA,Graph Digital Ltd
RM1043iv,1,001b000003g7zxEAAQ,Meister.works
RM1043iv,2,001b000003g7zxEAAQ,Meister.works
RM1043iv,4,001b000003g7zxEAAQ,Meister.works
RM1043iv,1,001b000003g7zxIAAQ,Enterprise Technology Management Ltd.,
RM1043iv,2,001b000003g7zxIAAQ,Enterprise Technology Management Ltd.,
RM1043iv,1,001b000003g7zxMAAQ,Accrosoft Ltd,
RM1043iv,2,001b000003g7zxQAAQ,AnJB Services Limited
RM1043iv,1,001b000003g7zxUAAQ,Kubrick Group
RM1043iv,2,001b000003g7zxUAAQ,Kubrick Group
RM1043iv,1,001b000003g800tAAA,Bourne Valley Systems Ltd
RM1043iv,2,001b000003g800tAAA,Bourne Valley Systems Ltd
RM1043iv,2,001b000003g8013AAA,Secnix Systems
RM1043iv,1,001b000003g801RAAQ,Syrosand Consulting
RM1043iv,2,001b000003g801RAAQ,Syrosand Consulting
RM1043iv,1,001b000003g801UAAQ,Revive Management,
RM1043iv,2,001b000003g8024AAA,Cadog Software Ltd
RM1043iv,1,001b000003g802dAAA,ConversionWorks
RM1043iv,2,001b000003g802dAAA,ConversionWorks
RM1043iv,1,001b000003g802GAAQ,Lean Lychee
RM1043iv,2,001b000003g802GAAQ,Lean Lychee
RM1043iv,1,001b000003gt8iRAAQ,InterQuest Group (UK) Limited
RM1043iv,2,001b000003gt8iRAAQ,InterQuest Group (UK) Limited
RM1043iv,1,001b000003OCcamAAD,British Telecommunications Plc
RM1043iv,2,001b000003OCcamAAD,British Telecommunications Plc
RM1043iv,1,001b000003OCcaoAAD,Fujitsu Services Ltd
RM1043iv,2,001b000003OCcaoAAD,Fujitsu Services Ltd
RM1043iv,1,001b000003OCcasAAD,Accenture (UK) Ltd
RM1043iv,2,001b000003OCcasAAD,Accenture (UK) Ltd
RM1043iv,1,001b000003OCcawAAD,Badenoch & Clark Ltd
RM1043iv,2,001b000003OCcawAAD,Badenoch & Clark Ltd
RM1043iv,1,001b000003OCcazAAD,Capgemini Uk Plc
RM1043iv,2,001b000003OCcazAAD,Capgemini Uk Plc
