URN,CustomerName,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10033007,First-Tier Tribunal (Claims Management Services),15-19 Bedford Avenue,London,Greater London,London,Greater London,England,WC1B 3AS,Central Government,TBA,True
10033006,First-Tier Tribunal (Environment),PO Box 9300,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 8DJ,Central Government,TBA,True
10033005,First Tier Tribunal,102 Petty France,London,Greater London,London,Greater London,England,SW1H 9AJ,Central Government,TBA,True
10032402,Yorkshire and Humberside Prisons,Cleland House Page Street,London,Greater London,London,Greater London,England,SW1P 4LN,Central Government,Prisons,True
10031608,Royal Air Force Association,Richard Peck House 1 St Thomas Road St Annes On Sea,Lytham St. Annes,Lancashire,Lytham St. Annes,Lancashire,England,FY8 1JL,Central Government,MoD - RAF,True
10030797,Manchester Crown Court,Crown Square,West Manchester,Greater Manchester,West Manchester,Greater Manchester,England,M3 3FL,Central Government,,True
10030786,HM Courts Service South W Region,Swindon Magistrates Court Princes Street,Swindon,Wiltshire,Swindon,Wiltshire,England,SN1 2JB,Central Government,,True
10030769,Bristol County Court,2 Redcliff,Bristol,Gloucestershire,Bristol,Gloucestershire,England,BS1 6GR,Central Government,,True
10030693,Altrincham County Court,Trafford Courthouse Ashton Lane,Sale,Greater Manchester,Sale,Greater Manchester,England,M33 7WX,Central Government,,True
10029435,Welbeck - Defence Sixth Form College,Forest Road Woodhouse,Loughborough,Leicestershire,Loughborough,Leicestershire,England,LE12 8WD,Central Government,Specialist Schools,True
10029405,(DIO) ASPIRE DEFENCE,WELLINGTON HOUSE ST OMER BARRACKS ALISONS ROAD,ALDERSHOT,Hampshire,ALDERSHOT,Hampshire,England,GU11 2BG,Central Government,,True
10027362,Public Health England,Estates & Facilities Department 61 Colindale Avenue,London,Greater London,London,Greater London,England,NW9 5DF,Central Government,Executive Agency,True
10027207,First-Tier Tribunal (Asylum Support),Anchorage House 2nd Floor 2 Clove Crescent,London,Greater London,London,Greater London,England,E14 2BE,Central Government,TBA,True
10027176,Kingston Magistrates Court,Guildhall 2 High Street,Kingston Upon Thames,Greater London,Kingston Upon Thames,Greater London,England,KT1 1EU,Central Government,,True
10026911,Independent Parliamentary Standards Authority,"4th Floor,  30 Millbank,",LONDON,,LONDON,,,SW1P 4DU,Central Government,Other,True
10026754,Andover Mind,Westbrook Close South Street,Andover,Hampshire,Andover,Hampshire,England,SP10­­ 2BN,Wider Public Sector,TBA,True
10026507,Sodexho Logistic Support Unit (MoD - Cyprus),Accomodation Services B Block,Cyprus,,Cyprus,,England,BFPO 53,Central Government,,True
10026271,Camelot Group,Tolpits Lane,Watford,Hertfordshire,Watford,Hertfordshire,England,WD18 9RN,Central Government,TBA,True
10026231,Birkenhead County Court,76 Hamilton Street,Birkenhead,Merseyside,Birkenhead,Merseyside,England,ch41 5en,Central Government,,True
10026020,Blackfriars Crown Court,1 - 15 Pocock Street,London,Greater London,London,Greater London,England,SE1 0BJ,Central Government,,True
10025944,Care Quality Commission,St. Nicholas Buildings St. Nicholas Street,Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne,Tyne and Wear,England,NE1 1NB,Central Government,Executive non-departmental public body,True
10025906,Salford Magistrates Court,Bexley Square,Salford,Greater Manchester,Salford,Greater Manchester,England,M3 6DJ,Central Government,,True
10025801,Legal Services Board,Victoria House Southampton Row,London,Greater London,London,Greater London,England,WC1B 4AD,Central Government,Executive non-departmental public body,True
10025691,Aberdare Coroners Court,Aberdare Coroners Court Rock Grounds Aberdare,Cardiff,South Glamorgan,Cardiff,South Glamorgan,Wales,CF44 7AE,Central Government,,True
10025434,Bedford and Mid Bedfordshire Magistrates Court,3 St Pauls Square,Bedford,Bedfordshire,Bedford,Bedfordshire,England,MK40 1SQ,Central Government,,True
10025394,Homes England,Maple House 149 Tottenham Court Road,London,Greater London,London,Greater London,England,W1T 7BN,Central Government,Executive non-departmental public body,True
10025129,Sentencing Guidelines Council,10 Great George Street,London,Greater London,London,Greater London,England,SW1P 3AE,Central Government,TBA,True
10024976,NHS Litigation Authority,Napier House 24 High Holbourn,London,Greater London,London,Greater London,England,WC1V 6AZ,Central Government,Executive non-departmental public body,True
10023958,Leasehold Advisory Service,31-41 Worship Street,London,Greater London,London,Greater London,England,EC2A 2DX,Central Government,Executive non-departmental public body,True
10023951,Medicines and Healthcare Products Regulatory Agency,151 Buckingham Palace Road,London,Greater London,London,Greater London,England,SW1W 9SZ,Central Government,Executive Agency,True
10023209,Judicial Appointments Commission,1A Tothill Street,London,Greater London,London,Greater London,England,SW1H 9LJ,Central Government,Executive non-departmental public body,True
10023205,Criminal Procedure Rule Committee,Selborne House 54-60 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QW,Central Government,Advisory non-departmental public body,True
10023203,Civil Procedure Rule Committee,5th Floor Selborne House 54-60 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QW,Central Government,Advisory non-departmental public body,True
10023201,Judicial Appointments and Conduct Ombudsman,8th Floor Millbank Tower Millbank,London,Greater London,London,Greater London,England,SW1P 4QP,Central Government,Other,True
10023195,Judicial Office,Strand,London,Greater London,London,Greater London,England,WC2A 2LL,Central Government,Other,True
10021815,Department of Health and Social Services (Cardiff),Cathays Park,Cardiff,South Glamorgan,Cardiff,South Glamorgan,Wales,CF10 3NQ,Wider Public Sector,TBA,True
10021810,Defence College Management and Technology,Shrivenham,SWINDON,Wiltshire,SWINDON,Wiltshire,England,SN6 8LA,Central Government,Specialist Schools,True
10021517,Royal Air Force Benevolent Fund,67 Portland Place,London,Greater London,London,Greater London,England,W1B 1AR,Central Government,MoD - RAF,True
10020918,Babcock Dyncorp Limited,"Babcock Dyncorp Limited Regional Prime Contract (East) Building 37, RAF nonington",Bury St. Edmonds,Suffolk,Bury St. Edmonds,Suffolk,England,IP31 1EE,Central Government,,True
10020054,NHS Business Services Authority,Stella House Goldcrest Way,Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne,Tyne and Wear,England,NE15 8NY,Central Government,Executive non-departmental public body,True
10019964,Parole Board for England and Wales,Grenadier House 99-105 Horseferry Road,London,Greater London,London,Greater London,England,SW1P 2DD,Central Government,Executive non-departmental public body,True
10019957,British Association for Central and Eastern Europe,10 Westminster Palace Gardens Artillery Row,London,Greater London,London,Greater London,England,SW1P 1RL,Central Government,Overseas,True
10019953,UK Chemical Stakeholders Forum,Zone 4/E1 Ashdown House 123 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6DE,Central Government,TBA,True
10019913,Civil Justice Council,Room E214 Royal Courts of Justice Strand,London,Greater London,London,Greater London,England,WC2A 2LL,Central Government,Advisory non-departmental public body,True
10019910,Advisory Committees on Justices of the Peace,Selborne House 54-60 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QW,Central Government,Advisory non-departmental public body,True
10019870,Office of the Judge Advocate General,81 Chancery Lane,London,Greater London,London,Greater London,England,WC2A 1BQ,Central Government,TBA,True
10019728,Office of the Strategic Health Authorities,Preston Hall,Aylesford,Kent,Aylesford,Kent,England,ME29 7NJ,Central Government,TBA,True
10019002,Gender Recognition Panel,Gender Recognition Panel PO Box 6987,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 6ZX,Central Government,TBA,True
10019000,First-Tier Tribunal (Immigration Services),Procession House 55 Ludgate House,London,Greater London,London,Greater London,England,EC4M 7JW,Central Government,TBA,True
10018999,Firstâ€“Tier Tribunal (Information Rights),Arnhem House Support Centre PO Box 6987,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 6ZX,Central Government,TBA,True
10018996,First-Tier Tribunal (Mental Health),5th Floor 11 Belgrave Road,London,Greater London,London,Greater London,England,SW1V 1RS,Central Government,TBA,True
10018991,First-Tier Tribunal (Transport),Seventh Floor Victory House,London,Greater London,London,Greater London,England,WC2B 6EX,Central Government,TBA,True
10018873,Law Commission,Conquest House 37 - 38 John Street,London,Greater London,London,Greater London,England,WC1N 2BQ,Central Government,Advisory non-departmental public body,True
10018854,Bury Magistrates Court,Tenters Street,Bury,Greater Manchester,Bury,Greater Manchester,England,BL9 0HX,Central Government,,True
10018257,Peoples Dispensary For Sick Animals,Whitechapel Way Priorslee,Telford,Shropshire,Telford,Shropshire,England,TF2 9PQ,Wider Public Sector,Charity,True
10017478,Royal Air Forces Association Housing Limited,Stanmore House Washington Road,Storrington,West Sussex,Storrington,West Sussex,England,RH20 4RA,Central Government,MoD - RAF,True
10015941,Census 1901,Census Helpdesk PO Box 1901,Malvern,Worcestershire,Malvern,Worcestershire,England,WR14 3YB,Central Government,,True
10015730,City of London Magistrates Court,1 Queen Victoria Street,London,Greater London,London,Greater London,England,EC4N 4XY,Central Government,,True
10013851,Office for Criminal Justice Reform,Southside 105 Victoria Street,London,Greater London,London,Greater London,England,SW1E 6QT,Central Government,TBA,True
10013428,North Avon Magistrates Court,1 Kennedy Way,Bristol,Gloucestershire,Bristol,Gloucestershire,England,BS17 4PY,Central Government,,True
10013425,Bath Magistrates Court,North Parade Road,Bath,Wiltshire,Bath,Wiltshire,England,BA1 5AF,Central Government,,True
10012390,Official Solicitor and Public Trustee,81 Chancery Lane,London,Greater London,London,Greater London,England,WC2A 1DD,Central Government,Other,True
10011779,Qinetiq,Cody Technology Park Old Ively Road,FARNBOROUGH,Hampshire,FARNBOROUGH,Hampshire,England,GU14 0LX,Central Government,,True
10011632,New Deal for Communities,Wellsbourne Centre Whitehawk Road,Brighton,Sussex,Brighton,Sussex,England,BN2 5PL,Wider Public Sector,,True
10011281,Youth Justice Board for England and Wales,11 Carteret Street,London,Greater London,London,Greater London,England,SW1H 9DL,Central Government,Executive non-departmental public body,True
10011020,Valuation Tribunal Services,2nd Floor Black Lion House 45 Whitechapel  Rd Bressenden Place,London,Greater London,London,Greater London,England,E1 1DU,Central Government,Executive non-departmental public body,True
10010256,Serco Defence and Aerospace,Room 2003 Building Poplar - 1 DPA Abbey Wood,Bristol,Avon,Bristol,Avon,England,BS34 8JH,Central Government,,True
10010096,Royal Household,Buckingham Palace,London,Greater London,London,Greater London,England,SW1A 1AA,Central Government,Other,True
10009644,"Ministry of Housing, Communities & Local Government","Fry Building, 2 Marsham Street",London,Greater London,London,Greater London,England,SW1P 4DF,Central Government,Department,True
10009600,Northern Region Valuation Tribunals,Ground Floor Block B Southfield House Southfield Way,Durham,County Durham,Durham,County Durham,England,DH1 5JY,Central Government,TBA,True
10009448,Natural History Museum,"Cromwell Road, South Kensington South Kensington",London,Greater London,London,Greater London,England,SW7 5BD,Central Government,Museums,True
10009347,MOD Engineering Library,"Room 303,Building 75, Rnad Coulport",Helensburgh,Dunbartonshire,Helensburgh,Dunbartonshire,Scotland,G84 0PD,Central Government,Specialist Schools,True
10009169,Local Government Boundary Commission for England,"Layden House, 76-86 Turnmill Street,",London,Greater London,London,Greater London,England,EC1M 5LG,Central Government,Other,True
10009085,Legal Services Ombudsman,"Lord Chancellors Office 3rd Floor, Sunlight House Quay Street",Manchester,Greater Manchester,Manchester,Greater Manchester,England,M3 3JZ,Central Government,TBA,True
10009084,Legal Services Commission,85 Grays Inn Road,London,Greater London,London,Greater London,England,WC1X 8TX,Central Government,TBA,True
10009042,Lancashire Magistrates Court,Garstang,Preston,Lancashire,Preston,Lancashire,England,PR3 1EY,Central Government,,True
10008839,The Insolvency Service,"21 Bloomsbury Street,",London,Greater London,London,Greater London,England,WC1B 3QW,Central Government,Executive Agency,True
10008836,Inner London Magistrates Court Service,JCE Offices 65 Romney Road,London,Greater London,London,Greater London,England,SW1P 3RD,Central Government,,True
