URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10002570,Logistic Applications Integrated PT (LAIPT),,Defence Logistic Organisation,Building 200 Room A103 IDL 34,Monxton Road,Andover,Hampshire                     ,England                       ,SP11 8HT,Wider Public Sector,Private Sector Enabler,False
10002397,Hampshire and Isle of Wight Supplies,,Supplies Dept  ,Brintons Terrace,Royal South Hants Hospital,Southampton,Hampshire                     ,England                       ,SO14 OYG,Wider Public Sector,Private Sector Enabler,False
10002247,South Trafford College,,Manchester Road,West Timperley,,Altrincham,Greater Manchester            ,England                       ,WA14 5PQ,Wider Public Sector,Colleges of Further Education,False
10002075,St Andrews Medical Centre,,Tait Practice,Pipiland Road,,St Andrews,Fife                          ,Scotland                      ,KY16 8JZ,Wider Public Sector,Private Sector Enabler,False
10001900,CPTS,,Crowborough Training Camp,,,Crowborough,East Sussex                   ,England                       ,TN6 1UB,Wider Public Sector,Private Sector Enabler,False
10001755,Our Lady of Lourdes,,Manchester Drive,,,Leigh-on-Sea,Essex                         ,England                       ,S59 3HS,Wider Public Sector,Private Sector Enabler,False
10001598,Berechurch Road,,St Barnabas Road,,,Colchester,Essex                         ,England                       ,CO2 7QU,Wider Public Sector,Private Sector Enabler,False
10001409,Townsend Residential Centre,,Townsend Road,,,Swanage,Dorset                        ,England                       ,BH19 2PX,Wider Public Sector,Private Sector Enabler,False
10001279,Whitstone Head Educational Trust Ltd,,Whitstone Head School,Whitstone,,Holsworthy,Devon                         ,England                       ,EX22 6TJ,Wider Public Sector,Private Sector Enabler,False
10001135,Commando Training Centre Royal Marines,CTCRM,Lympstone,Lympstone,,Exmouth,Devon                         ,England                       ,EX8 5AR,Wider Public Sector,Private Sector Enabler,False
10000971,Outward Bound Ullswater,,Watermillock,Watermillock,,Penrith,Cumbria                       ,England                       ,CA11 0JL,Wider Public Sector,Private Sector Enabler,False
10000779,Community Campus,,St Mary's Centre,82-90 Corporation Road,,Middlesborough,Cleveland                     ,England                       ,TS1 2RW,Wider Public Sector,Private Sector Enabler,False
10000629,Bridgewater Day Centre,,Castlefields Avenue North,,,Runcorn,Cheshire                      ,England                       ,WA7 4YH,Wider Public Sector,Private Sector Enabler,False
10000431,FLINT PJ,,The New Surgery,Lindo Close,,Chesham,Buckinghamshire               ,England                       ,HP5 2JN,Wider Public Sector,Private Sector Enabler,False
10000274,Community Council for Berkshire,,Epping House,55 Russell Street,,Reading,Berkshire                     ,England                       ,RG1 7XG,Wider Public Sector,Private Sector Enabler,False
10000099,Craigavon Borough Council,,Civic Centre Lakeview Road,Craigavon,County Armagh,Craigavon,County Armagh,Northern Ireland,BT64 1AL,Wider Public Sector,Local Government,False
